+-----------------------------------------------------------------------------------+-----------+-----------------------+
|                                       name                                        | graduated | per_pupil_expenditure |
| Andover High                                                                      | 98        | 20941.36              |
| New Liberty Innovation School                                                     | 4         | 20930.81              |
| Salem High                                                                        | 88.9      | 20930.81              |
| Salem Prep High School                                                            | 37.5      | 20930.81              |
| Maynard High                                                                      | 89        | 20901.19              |
| Curtis-Tufts                                                                      | 42.9      | 20899.84              |
| Medford High                                                                      | 93.9      | 20899.84              |
| Triton Regional High School                                                       | 92.9      | 20857.87              |
| Mt Greylock Regional High                                                         | 94.4      | 20817.31              |
| Monomoy Regional High School                                                      | 96.6      | 20773.63              |
| Dennis-Yarmouth Regional High                                                     | 89.9      | 20728.4               |
| Ipswich High                                                                      | 94.2      | 20686.9               |
| Nashoba Valley Technical High School                                              | 95.5      | 20629.19              |
| Foxborough High                                                                   | 98.4      | 20620.81              |
| Wayland High School                                                               | 99.1      | 20613.54              |
| Essex North Shore Agricultural and Technical School                               | 98        | 20557.03              |
| Hamilton-Wenham Regional High                                                     | 97.8      | 20544.67              |
| Cohasset High School                                                              | 100       | 20525.08              |
| Westwood High                                                                     | 98.4      | 20499.76              |
| Woburn High                                                                       | 92.8      | 20497.87              |
| Assabet Valley Vocational High School                                             | 98.5      | 20447.01              |
| Norwood High                                                                      | 96.3      | 20402.34              |
| Four Rivers Charter Public School                                                 | 84.4      | 20324.69              |
| Bourne High School                                                                | 95        | 20294.55              |
| Gloucester High                                                                   | 80.4      | 20131.02              |
| Bristol-Plymouth Vocational Technical                                             | 95.9      | 20069.67              |
| Turners Fall High                                                                 | 76.2      | 20020.83              |
| Canton High                                                                       | 96.2      | 20012.55              |
| Southeastern Regional Vocational Technical                                        | 98.9      | 19974.35              |
| Newburyport High                                                                  | 95.2      | 19971.98              |
| King Philip Regional High                                                         | 96.3      | 19918.26              |
| Amesbury High                                                                     | 93.6      | 19883.64              |
| Amesbury Innovation High School                                                   | 85.7      | 19883.64              |
| Hudson High                                                                       | 84.5      | 19882.96              |
| Wareham Cooperative Alternative School                                            | 16        | 19728.99              |
| Wareham Senior High                                                               | 81.3      | 19728.99              |
| Agawam High                                                                       | 92.5      | 19689.66              |
| Algonquin Regional High                                                           | 97.9      | 19683.27              |
| Roxbury Preparatory Charter School                                                | 88.5      | 19636.1               |
| KIPP Academy Lynn Charter School                                                  | 97.5      | 19570.45              |
| Nashoba Regional                                                                  | 97        | 19569.91              |
| Plymouth North High                                                               | 95.3      | 19562.98              |
| Plymouth South High                                                               | 98.2      | 19562.98              |
| Marblehead High                                                                   | 97.6      | 19558.01              |
| Paulo Freire Social Justice Charter School                                        | 80.3      | 19556.68              |
| Excel Academy Charter School                                                      | 99.4      | 19547.89              |
| Lee Middle/High School                                                            | 93.9      | 19547.75              |
| Drury High                                                                        | 82.4      | 19460.82              |
| Billerica Memorial High School                                                    | 95.6      | 19448.64              |
| Randolph High                                                                     | 76.7      | 19438.97              |
| Bellingham High School                                                            | 94.7      | 19438.2               |
| Keough Memorial Academy                                                           | 66.7      | 19438.2               |
| Francis W. Parker Charter Essential School                                        | 91.7      | 19432.43              |
| Mansfield High                                                                    | 97.2      | 19431.36              |
| Bay Path Regional Vocational Technical High School                                | 98.1      | 19363.97              |
| Salem Academy Charter School                                                      | 98.3      | 19262.34              |
| Southbridge Academy                                                               | 14.3      | 19261.52              |
| Southbridge High School                                                           | 58.9      | 19261.52              |
| Monson High School                                                                | 90.3      | 19243.81              |
| Tewksbury Memorial High                                                           | 96.3      | 19139.45              |
| Barnstable High                                                                   | 82.5      | 19121.39              |
| Boston Day and Evening Academy Charter School                                     | 5.3       | 19085.9               |
| Gateway Regional High                                                             | 93        | 19062.6               |
| North Reading High                                                                | 97.9      | 19035.75              |
| Swampscott High                                                                   | 94.6      | 18977.66              |
| Groton Dunstable Regional                                                         | 99.5      | 18968.5               |
| Sharon High                                                                       | 93        | 18963.94              |
| Acton-Boxborough Regional High                                                    | 98.8      | 18957.61              |
| Chelsea High                                                                      | 77        | 18951.75              |
| Chelsea Opportunity Academy                                                       | 8.8       | 18951.75              |
| Millbury Junior/Senior High                                                       | 90.3      | 18937.93              |
| Frontier Regional                                                                 | 91.5      | 18888.77              |
| Rockland Senior High                                                              | 91.8      | 18816.56              |
| Avon Middle High School                                                           | 80        | 18771.55              |
| Holyoke High                                                                      | 75.8      | 18731.99              |
| South Shore Charter Public School                                                 | 92.3      | 18721.63              |
| Ralph C Mahar Regional                                                            | 90.7      | 18682.74              |
| Phoenix Academy Public Charter High School, Lawrence                              | 8.3       | 18677.05              |
| Conservatory of the Arts                                                          | 93.8      | 18642.14              |
| Gateway to College at Holyoke Community College                                   | 55.6      | 18642.14              |
| Gateway to College at Springfield Technical Community College                     | 90.9      | 18642.14              |
| High School Of Commerce                                                           | 86.8      | 18642.14              |
| John J Duggan Academy                                                             | 98.1      | 18642.14              |
| Roger L. Putnam Vocational Technical Academy                                      | 96.8      | 18642.14              |
| Springfield Central High                                                          | 93.6      | 18642.14              |
| Springfield High School                                                           | 20        | 18642.14              |
| Springfield High School of Science and Technology                                 | 91.5      | 18642.14              |
| Springfield Public Day High School                                                | 32.1      | 18642.14              |
| The Springfield Renaissance School an Expeditionary Learning School               | 97.6      | 18642.14              |
| Stoughton High                                                                    | 90.5      | 18530.25              |
| Stoneham High                                                                     | 95.1      | 18512.78              |
| Wakefield Memorial High                                                           | 95.7      | 18491.73              |
| Millis High School                                                                | 93.6      | 18436.91              |
| Medfield Senior High                                                              | 98        | 18435.05              |
| Silver Lake Regional High                                                         | 96.6      | 18364.65              |
| Ayer Shirley Regional High School                                                 | 95.1      | 18363.89              |
| Pittsfield High                                                                   | 86.8      | 18360.88              |
| Taconic High                                                                      | 89.5      | 18360.88              |
