+-----+----------------------------------------+-----------------+------------+
| id  |                 title                  | production_code |  air_date  |
| 98  | The Cyberchase Movie                   | CYB099          | 2014-04-21 |
| 99  | The Cyberchase Movie                   | CYB100          | 2014-04-22 |
| 100 | Fit to be Heroes                       | CYB101          | 2015-11-09 |
| 101 | A Recipe for Chaos                     | CYB102          | 2015-11-10 |
| 102 | A Seedy Business                       | CYB103          | 2015-11-11 |
| 103 | Parks and Recreation                   | CYB104          | 2015-11-12 |
| 104 | Bottled Up                             | CYB105          | 2015-11-13 |
| 105 | Watts of Halloween Trouble             | CYB106          | 2017-10-23 |
| 106 | Creech's Creature Quandary             | CYB107          | 2017-12-26 |
| 107 | A Murky Mystery in Mermaidos           | CYB108          | 2017-12-27 |
| 108 | Plantasaurus!                          | CYB109          | 2017-12-28 |
| 109 | A Reboot Eve to Remember               | CYB110          | 2017-12-29 |
| 110 | Housewarming Party                     | CYB111          | 2018-04-16 |
| 111 | Invasion of the Funky Flower           | CYB112          | 2018-04-17 |
| 112 | A Renewable Hope                       | CYB113          | 2018-04-18 |
| 113 | The Migration Situation                | CYB114          | 2018-04-19 |
| 114 | Back to Canalia's Future               | CYB115          | 2018-04-20 |
| 117 | Giving Thanks Day                      | CYB116          | 2019-11-22 |
| 116 | Space Waste Odyssey                    | CYB117          | 2019-04-19 |
| 115 | Space Waste Odyssey                    | CYB118          | 2019-11-29 |
| 118 | A Garden Grows in Botlyn               | CYB119          | 2020-02-14 |
| 119 | Missing Bats in Sensible Flats         | CYB120          | 2020-04-17 |
| 120 | Water Woes                             | CYB121          | 2020-04-17 |
| 121 | Soil Turmoil                           | CYB122          | 2020-04-17 |
| 122 | Hacker Hugs a Tree                     | CYB123          | 2020-04-17 |
| 123 | Pursuit of the Prism of Power          | CYB124          | 2020-05-08 |
| 124 | Composting in the Clutch               | CYB125          | 2020-05-08 |
| 125 | A Camping Conundrum                    | CYB126          | 2020-05-08 |
| 126 | Journey of a Thousand Food Miles       | CYB127          | 2020-05-08 |
| 127 | Duck Stop                              | CYB128          | 2022-02-25 |
| 128 | The Great Outdoors                     | CYB129          | 2022-02-25 |
| 129 | Coral Grief                            | CYB130          | 2022-02-25 |
| 130 | Sustainable by Design                  | CYB131          | 2022-02-25 |
| 131 | Hacker's Bright Idea                   | CYB132          | 2022-04-29 |
